# Tomato32 ROM opcode table — one row per rom_addr (1024x64 microcode). Hardware authority; ISA personalities live under profiles/.
rom_addr,rom_region,mnemonic,group,encoding,semantic_op,ir_imm_sel,alu_op,alu_pre,cin_sel,shift_op,wb_sel,reg_we,bank_en,flags_we,mem_rd,mem_wr,byte_sel,mem_sel,branch_en,jump_type,sp_op,pc_src,pc_link_we,pc_cond,cycles,ctrl_bussel,mul_en,div_en,lut3_index,primitive_id,hardware_tier,notes,status
0x115,,,,,,3,150,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x116,,,,,,4,150,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x117,,,,,,3,136,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x118,,,,,,3,105,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x119,,,,,,10,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x11b,,,,,,7,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x11c,,,,,,1,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x11d,,,,,,7,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x11e,,,,,,8,105,7,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x11f,,,,,,7,105,7,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x120,,,,,,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x121,,,,,,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x122,,,,,,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x123,,,,,,1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x135,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x140,,,,,,14,150,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x141,,,,,,2,150,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x142,,,,,,8,150,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x143,,,,,,14,105,7,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x144,,,,,,14,105,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x145,,,,,,1,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x146,,,,,,7,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x147,,,,,,10,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x148,,,,,,15,150,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x149,,,,,,8,105,7,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x14a,,,,,,4,136,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x14b,,,,,,3,136,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x14c,,,,,,4,238,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
